,First Name,Last Name,Team ID,Team Name,Position,Total Points,Average Points,Market Value,Market Value Trend,Profile Path,Profile Big Path,Table Coeff.,Point Coeff.,Club Measure
0,Jonathan,Tah,7,Bayer Leverkusen,2,574,144,32118558.0,1,https://kickbase.b-cdn.net/pool/players/173.jpg,,0.8823529411764706,0.4,0.6411764705882352
1,Stefan,Bell,18,1. FSV Mainz 05,2,107,54,4240028.0,2,https://kickbase.b-cdn.net/pool/players/550.jpg,,0.47058823529411764,0.3333333333333333,0.4019607843137255
2,Julian,Brandt,3,Borussia Dortmund,3,499,100,33313980.0,1,https://kickbase.b-cdn.net/pool/players/1192.jpg,,0.9411764705882353,0.6666666666666666,0.803921568627451
3,Pascal,Stenzel,9,VfB Stuttgart,2,52,26,6052078.0,1,https://kickbase.b-cdn.net/pool/players/1758.jpg,,0.5882352941176471,0.4666666666666667,0.5274509803921569
4,Jacob,Bruun Larsen,14,TSG 1899 Hoffenheim,3,79,20,4327485.0,2,https://kickbase.b-cdn.net/pool/players/1781.jpg,,0.17647058823529413,0.2,0.18823529411764706
5,Jonas,Föhrenbach,50,1. FC Heidenheim 1846,2,283,71,8533884.0,2,https://kickbase.b-cdn.net/pool/players/1871.jpg,,0.5294117647058824,0.4,0.4647058823529412
6,Dayotchanculle,Upamecano,2,FC Bayern München,2,546,137,24449713.0,1,https://kickbase.b-cdn.net/pool/players/1991.jpg,,1.0,0.8,0.9
7,Finn,Dahmen,13,FC Augsburg,1,0,0,4801628.0,2,https://kickbase.b-cdn.net/pool/players/2195.jpg,,0.35294117647058826,0.26666666666666666,0.30980392156862746
8,Keven,Schlotterbeck,13,FC Augsburg,2,410,103,12940723.0,1,https://kickbase.b-cdn.net/pool/players/2274.jpg,,0.35294117647058826,0.26666666666666666,0.30980392156862746
9,Patrik,Schick,7,Bayer Leverkusen,4,66,22,9624929.0,2,,,0.8823529411764706,0.4,0.6411764705882352
10,Stefan,Schimmer,50,1. FC Heidenheim 1846,4,-5,-5,2586721.0,1,,,0.5294117647058824,0.4,0.4647058823529412
11,Nnamdi,Collins,4,Eintracht Frankfurt,2,15,15,1860773.0,2,,,0.7647058823529411,0.6,0.6823529411764706
12,Marvin,Pieringer,50,1. FC Heidenheim 1846,4,297,74,10342483.0,2,,,0.5294117647058824,0.4,0.4647058823529412
13,Tiago Barreiros,de Melo Tomás,11,VfL Wolfsburg,4,208,52,7919319.0,2,,,0.29411764705882354,0.2,0.24705882352941178
14,Umut,Tohumcu,14,TSG 1899 Hoffenheim,3,-11,-6,4539801.0,1,,,0.17647058823529413,0.2,0.18823529411764706
15,Lasse,Rosenboom,51,Holstein Kiel,2,13,4,3664565.0,1,,,0.0,0.06666666666666667,0.03333333333333333
16,Moritz,Jenz,18,1. FSV Mainz 05,2,251,126,11346736.0,1,,,0.47058823529411764,0.3333333333333333,0.4019607843137255
17,Kjell-Arik,Wätjen,3,Borussia Dortmund,3,0,0,577908.0,1,,,0.9411764705882353,0.6666666666666666,0.803921568627451
18,Bennit,Bröger,11,VfL Wolfsburg,3,0,0,2198570.0,2,,,0.29411764705882354,0.2,0.24705882352941178
19,Krisztián,Lisztes,4,Eintracht Frankfurt,3,0,0,1006758.0,2,,,0.7647058823529411,0.6,0.6823529411764706
20,Martin,Terrier,7,Bayer Leverkusen,4,354,89,15778419.0,1,,,0.8823529411764706,0.4,0.6411764705882352
21,Alexis,Claude-Maurice,13,FC Augsburg,3,0,0,3047640.0,2,,,0.35294117647058826,0.26666666666666666,0.30980392156862746
