,First Name,Last Name,Team ID,Team Name,Position,Total Points,Average Points,Market Value,Market Value Trend,Profile Path,Profile Big Path,static_req_table_coeff,req_point_coeff,static_opp_table_coeff,opp_point_coeff
0,Harry,Kane,2,FC Bayern München,4,1171,293,59565046.0,1,,https://kickbase.b-cdn.net/pool/playersbig/7226.png,1.0,0.5714285714285714,0.8235294117647058,0.5
1,Florian,Wirtz,7,Bayer Leverkusen,3,1090,273,53342973.0,1,,https://kickbase.b-cdn.net/pool/playersbig/2795.png,0.8235294117647058,0.2857142857142857,0.0,0.08333333333333333
2,Granit,Xhaka,7,Bayer Leverkusen,3,905,226,50143881.0,1,https://kickbase.b-cdn.net/pool/players/573.jpg,https://kickbase.b-cdn.net/pool/playersbig/573.png,0.8235294117647058,0.2857142857142857,0.0,0.08333333333333333
3,Michael,Olise,2,FC Bayern München,3,901,225,39331899.0,1,,https://kickbase.b-cdn.net/pool/playersbig/8329.png,1.0,0.5714285714285714,0.8235294117647058,0.5
4,Vincenzo,Grifo,5,SC Freiburg,3,861,172,27955110.0,1,https://kickbase.b-cdn.net/pool/players/118.jpg,https://kickbase.b-cdn.net/pool/playersbig/118.png,0.6470588235294118,0.3333333333333333,0.35294117647058826,0.4166666666666667
5,Alejandro,Grimaldo,7,Bayer Leverkusen,2,850,213,49558774.0,1,,https://kickbase.b-cdn.net/pool/playersbig/6173.png,0.8235294117647058,0.2857142857142857,0.0,0.08333333333333333
6,Jamal,Musiala,2,FC Bayern München,3,837,209,50254668.0,1,,https://kickbase.b-cdn.net/pool/playersbig/2804.png,1.0,0.5714285714285714,0.8235294117647058,0.5
7,Péter,Gulácsi,43,RB Leipzig,1,820,164,18323901.0,1,https://kickbase.b-cdn.net/pool/players/1896.jpg,https://kickbase.b-cdn.net/pool/playersbig/1896.png,0.9411764705882353,0.4444444444444444,0.7647058823529411,0.5
8,Omar,Marmoush,4,Eintracht Frankfurt,4,807,202,27859667.0,1,,https://kickbase.b-cdn.net/pool/playersbig/2792.png,0.7058823529411765,0.42857142857142855,0.0,0.08333333333333333
9,Xavi,Simons,43,RB Leipzig,3,804,161,40754142.0,1,,https://kickbase.b-cdn.net/pool/playersbig/6672.png,0.9411764705882353,0.4444444444444444,0.7647058823529411,0.5
10,Serge,Gnabry,2,FC Bayern München,3,767,192,24132773.0,1,https://kickbase.b-cdn.net/pool/players/1961.jpg,https://kickbase.b-cdn.net/pool/playersbig/1961.png,1.0,0.5714285714285714,0.8235294117647058,0.5
11,Robin,Zentner,18,1. FSV Mainz 05,1,757,151,17782208.0,1,https://kickbase.b-cdn.net/pool/players/1590.jpg,https://kickbase.b-cdn.net/pool/playersbig/1590.png,0.4117647058823529,0.2222222222222222,0.23529411764705882,0.08333333333333333
